site,roll,filename,exif-datetime,filedatetime
22A,R1,NIA_S1_22A_R1_IMAG0001.JPG,2016:11:02 09:30:24,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0002.JPG,2016:11:02 10:00:06,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0003.JPG,2016:11:02 10:12:22,2017:08:31 17:46:46
22A,R1,NIA_S1_22A_R1_IMAG0004.JPG,2016:11:02 10:14:16,2017:08:31 17:46:46
22A,R1,NIA_S1_22A_R1_IMAG0005.JPG,2016:11:02 10:14:45,2017:08:31 17:46:46
22A,R1,NIA_S1_22A_R1_IMAG0006.JPG,2016:11:02 10:17:02,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0007.JPG,2016:11:02 10:19:51,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0008.JPG,2016:11:02 10:22:14,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0009.JPG,2016:11:02 10:25:55,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0010.JPG,2016:11:02 10:26:13,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0011.JPG,2016:11:02 10:29:20,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0012.JPG,2016:11:02 10:37:05,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0013.JPG,2016:11:02 10:39:37,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0014.JPG,2016:11:02 10:41:53,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0015.JPG,2016:11:02 10:42:21,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0016.JPG,2016:11:02 10:42:39,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0017.JPG,2016:11:02 10:47:18,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0018.JPG,2016:11:02 10:50:13,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0019.JPG,2016:11:02 11:06:29,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0020.JPG,2016:11:02 11:25:56,2017:08:31 17:46:44
22A,R1,NIA_S1_22A_R1_IMAG0021.JPG,2016:11:02 11:37:45,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0022.JPG,2016:11:02 11:49:32,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0023.JPG,2016:11:02 11:52:05,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0024.JPG,2016:11:02 11:59:40,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0025.JPG,2016:11:02 12:42:11,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0026.JPG,2016:11:02 12:44:15,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0027.JPG,2016:11:02 12:46:04,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0028.JPG,2016:11:02 12:48:39,2017:08:31 17:46:45
22A,R1,NIA_S1_22A_R1_IMAG0029.JPG,2016:11:02 12:49:37,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0030.JPG,2016:11:02 12:54:29,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0031.JPG,2016:11:02 13:35:06,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0032.JPG,2016:11:03 07:02:26,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0033.JPG,2016:11:03 07:02:49,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0034.JPG,2016:11:03 09:24:03,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0035.JPG,2016:11:03 09:24:18,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0036.JPG,2016:11:03 09:24:57,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0037.JPG,2016:11:03 09:28:44,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0038.JPG,2016:11:03 09:53:32,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0039.JPG,2016:11:03 10:01:47,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0040.JPG,2016:11:03 10:27:50,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0041.JPG,2016:11:03 10:43:27,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0042.JPG,2016:11:03 10:44:03,2017:08:31 17:46:40
22A,R1,NIA_S1_22A_R1_IMAG0043.JPG,2016:11:03 10:55:53,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0044.JPG,2016:11:03 11:29:42,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0045.JPG,2016:11:03 12:14:09,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0046.JPG,2016:11:03 12:20:29,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0047.JPG,2016:11:03 13:13:06,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0048.JPG,2016:11:03 13:36:37,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0049.JPG,2016:11:03 13:36:52,2017:08:31 17:46:41
22A,R1,NIA_S1_22A_R1_IMAG0050.JPG,2016:11:04 08:53:21,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0051.JPG,2016:11:04 09:21:03,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0052.JPG,2016:11:04 11:59:44,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0053.JPG,2016:11:04 12:39:17,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0054.JPG,2016:11:04 13:30:13,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0055.JPG,2016:11:04 13:42:46,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0056.JPG,2016:11:05 12:17:07,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0057.JPG,2016:11:05 12:17:22,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0058.JPG,2016:11:05 12:17:37,2017:08:31 17:46:43
22A,R1,NIA_S1_22A_R1_IMAG0059.JPG,2016:11:06 05:08:22,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0060.JPG,2016:11:06 09:09:21,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0061.JPG,2016:11:06 10:19:06,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0062.JPG,2016:11:06 10:21:26,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0063.JPG,2016:11:06 12:10:08,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0064.JPG,2016:11:07 11:39:13,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0065.JPG,2016:11:07 11:40:02,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0066.JPG,2016:11:07 11:41:36,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0067.JPG,2016:11:07 11:48:36,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0068.JPG,2016:11:07 12:19:36,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0069.JPG,2016:11:07 12:20:33,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0070.JPG,2016:11:07 12:20:48,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0071.JPG,2016:11:07 19:15:30,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0072.JPG,2016:11:08 08:33:20,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0073.JPG,2016:11:08 08:37:31,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0074.JPG,2016:11:08 08:44:36,2017:08:31 17:46:32
22A,R1,NIA_S1_22A_R1_IMAG0075.JPG,2016:11:08 08:52:21,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0076.JPG,2016:11:08 09:31:32,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0077.JPG,2016:11:08 09:33:54,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0078.JPG,2016:11:08 09:34:09,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0079.JPG,2016:11:08 09:45:15,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0080.JPG,2016:11:08 09:52:12,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0081.JPG,2016:11:08 11:09:39,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0082.JPG,2016:11:08 11:14:39,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0083.JPG,2016:11:08 11:14:55,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0084.JPG,2016:11:08 12:49:03,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0085.JPG,2016:11:08 12:49:22,2017:08:31 17:46:33
22A,R1,NIA_S1_22A_R1_IMAG0086.JPG,2016:11:08 12:49:37,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0087.JPG,2016:11:08 12:49:52,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0088.JPG,2016:11:08 12:50:09,2017:08:31 17:46:39
22A,R1,NIA_S1_22A_R1_IMAG0089.JPG,2016:11:09 08:28:34,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0090.JPG,2016:11:09 11:09:15,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0091.JPG,2016:11:09 11:25:06,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0092.JPG,2016:11:09 11:25:43,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0093.JPG,2016:11:09 12:10:44,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0094.JPG,2016:11:09 12:12:38,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0095.JPG,2016:11:09 12:35:54,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0096.JPG,2016:11:09 12:36:33,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0097.JPG,2016:11:09 12:42:49,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0098.JPG,2016:11:10 08:45:59,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0099.JPG,2016:11:10 09:12:55,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0100.JPG,2016:11:10 09:57:08,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0101.JPG,2016:11:10 10:23:20,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0102.JPG,2016:11:10 11:02:18,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0103.JPG,2016:11:10 11:02:54,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0104.JPG,2016:11:10 11:03:46,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0105.JPG,2016:11:10 11:04:04,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0106.JPG,2016:11:10 11:04:35,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0107.JPG,2016:11:10 11:05:40,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0108.JPG,2016:11:10 11:07:01,2017:08:31 17:46:30
22A,R1,NIA_S1_22A_R1_IMAG0109.JPG,2016:11:10 11:07:55,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0110.JPG,2016:11:10 11:09:53,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0111.JPG,2016:11:10 11:16:07,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0112.JPG,2016:11:10 11:18:05,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0113.JPG,2016:11:10 11:19:51,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0114.JPG,2016:11:10 11:21:04,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0115.JPG,2016:11:10 11:21:21,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0116.JPG,2016:11:10 11:22:32,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0117.JPG,2016:11:10 11:24:18,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0118.JPG,2016:11:10 11:47:19,2017:08:31 17:46:31
22A,R1,NIA_S1_22A_R1_IMAG0119.JPG,2016:11:10 11:48:01,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0120.JPG,2016:11:10 12:24:06,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0121.JPG,2016:11:10 12:25:05,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0122.JPG,2016:11:10 12:28:48,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0123.JPG,2016:11:10 12:31:15,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0124.JPG,2016:11:10 13:22:24,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0125.JPG,2016:11:10 13:52:21,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0126.JPG,2016:11:11 08:42:23,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0127.JPG,2016:11:11 08:42:54,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0128.JPG,2016:11:11 09:05:09,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0129.JPG,2016:11:11 09:16:01,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0130.JPG,2016:11:11 09:22:32,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0131.JPG,2016:11:11 09:23:50,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0132.JPG,2016:11:11 09:26:09,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0133.JPG,2016:11:11 09:27:54,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0134.JPG,2016:11:11 09:28:26,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0135.JPG,2016:11:11 09:29:33,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0136.JPG,2016:11:11 09:30:27,2017:08:31 17:46:28
