site,roll,filename,exif-datetime,filedatetime
22A,R1,NIA_S1_22A_R1_IMAG0137.JPG,2016:11:11 09:33:40,2017:08:31 17:46:28
22A,R1,NIA_S1_22A_R1_IMAG0138.JPG,2016:11:11 09:35:10,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0139.JPG,2016:11:11 09:42:55,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0140.JPG,2016:11:11 09:50:26,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0141.JPG,2016:11:11 09:55:54,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0142.JPG,2016:11:11 09:59:02,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0143.JPG,2016:11:11 10:12:34,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0144.JPG,2016:11:11 10:13:58,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0145.JPG,2016:11:11 10:14:52,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0146.JPG,2016:11:11 10:15:42,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0147.JPG,2016:11:11 10:18:53,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0148.JPG,2016:11:11 10:25:56,2017:08:31 17:46:29
22A,R1,NIA_S1_22A_R1_IMAG0149.JPG,2016:11:11 10:40:31,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0150.JPG,2016:11:11 10:50:23,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0151.JPG,2016:11:11 10:52:37,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0152.JPG,2016:11:11 10:58:32,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0153.JPG,2016:11:11 10:59:06,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0154.JPG,2016:11:11 11:10:44,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0155.JPG,2016:11:11 11:15:37,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0156.JPG,2016:11:11 11:16:39,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0157.JPG,2016:11:11 11:17:01,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0158.JPG,2016:11:11 11:27:23,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0159.JPG,2016:11:11 11:29:43,2017:08:31 17:46:20
22A,R1,NIA_S1_22A_R1_IMAG0160.JPG,2016:11:11 11:29:58,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0161.JPG,2016:11:11 11:32:42,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0162.JPG,2016:11:11 11:36:02,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0163.JPG,2016:11:11 11:42:12,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0164.JPG,2016:11:11 11:42:46,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0165.JPG,2016:11:11 11:43:47,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0166.JPG,2016:11:11 11:46:19,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0167.JPG,2016:11:11 11:50:13,2017:08:31 17:46:21
22A,R1,NIA_S1_22A_R1_IMAG0168.JPG,2016:11:11 11:58:06,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0169.JPG,2016:11:11 11:59:36,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0170.JPG,2016:11:11 12:02:04,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0171.JPG,2016:11:11 12:02:36,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0172.JPG,2016:11:11 12:02:51,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0173.JPG,2016:11:11 12:03:06,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0174.JPG,2016:11:11 12:03:21,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0175.JPG,2016:11:11 12:04:10,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0176.JPG,2016:11:11 12:04:25,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0177.JPG,2016:11:11 12:05:20,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0178.JPG,2016:11:11 12:05:56,2017:08:31 17:46:27
22A,R1,NIA_S1_22A_R1_IMAG0179.JPG,2016:11:11 12:07:42,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0180.JPG,2016:11:11 12:09:20,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0181.JPG,2016:11:11 12:09:35,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0182.JPG,2016:11:11 12:10:20,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0183.JPG,2016:11:11 12:11:19,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0184.JPG,2016:11:11 12:13:18,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0185.JPG,2016:11:11 12:15:05,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0186.JPG,2016:11:11 12:15:25,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0187.JPG,2016:11:11 12:15:40,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0188.JPG,2016:11:11 12:15:58,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0189.JPG,2016:11:11 12:16:47,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0190.JPG,2016:11:11 12:17:02,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0191.JPG,2016:11:11 12:17:36,2017:08:31 17:46:18
22A,R1,NIA_S1_22A_R1_IMAG0192.JPG,2016:11:11 12:17:56,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0193.JPG,2016:11:11 12:19:34,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0194.JPG,2016:11:11 12:21:42,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0195.JPG,2016:11:11 12:21:57,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0196.JPG,2016:11:11 12:23:13,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0197.JPG,2016:11:11 12:23:50,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0198.JPG,2016:11:11 12:24:51,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0199.JPG,2016:11:11 12:25:18,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0200.JPG,2016:11:11 12:25:33,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0201.JPG,2016:11:11 12:25:48,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0202.JPG,2016:11:11 12:27:18,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0203.JPG,2016:11:11 12:29:36,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0204.JPG,2016:11:11 12:30:52,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0205.JPG,2016:11:11 12:31:33,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0206.JPG,2016:11:11 12:31:51,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0207.JPG,2016:11:11 12:33:16,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0208.JPG,2016:11:11 12:33:33,2017:08:31 17:46:19
22A,R1,NIA_S1_22A_R1_IMAG0209.JPG,2016:11:11 12:33:54,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0210.JPG,2016:11:11 12:34:12,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0211.JPG,2016:11:11 12:34:36,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0212.JPG,2016:11:11 12:34:51,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0213.JPG,2016:11:11 12:35:21,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0214.JPG,2016:11:11 12:35:48,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0215.JPG,2016:11:11 12:36:44,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0216.JPG,2016:11:11 12:37:09,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0217.JPG,2016:11:11 12:37:26,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0218.JPG,2016:11:11 12:39:09,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0219.JPG,2016:11:11 12:39:55,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0220.JPG,2016:11:11 12:40:10,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0221.JPG,2016:11:11 12:40:25,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0222.JPG,2016:11:11 12:40:46,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0223.JPG,2016:11:11 12:41:36,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0224.JPG,2016:11:11 12:41:51,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0225.JPG,2016:11:11 14:26:18,2017:08:31 17:46:14
22A,R1,NIA_S1_22A_R1_IMAG0226.JPG,2016:11:11 14:27:22,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0227.JPG,2016:11:11 14:29:14,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0228.JPG,2016:11:11 14:29:29,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0229.JPG,2016:11:11 14:29:47,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0230.JPG,2016:11:11 14:30:23,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0231.JPG,2016:11:11 14:30:39,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0232.JPG,2016:11:11 14:31:05,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0233.JPG,2016:11:11 14:32:17,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0234.JPG,2016:11:11 14:32:46,2017:08:31 17:46:15
22A,R1,NIA_S1_22A_R1_IMAG0235.JPG,2016:11:11 14:37:21,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0236.JPG,2016:11:11 14:37:49,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0237.JPG,2016:11:11 14:39:05,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0238.JPG,2016:11:11 14:40:11,2017:08:31 17:46:17
22A,R1,NIA_S1_22A_R1_IMAG0239.JPG,2016:11:11 14:40:45,2017:08:31 17:46:11
22A,R1,NIA_S1_22A_R1_IMAG0240.JPG,2016:11:11 14:41:06,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0241.JPG,2016:11:11 14:41:55,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0242.JPG,2016:11:11 14:42:20,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0243.JPG,2016:11:11 14:53:13,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0244.JPG,2016:11:12 04:53:32,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0245.JPG,2016:11:12 07:14:18,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0246.JPG,2016:11:12 07:14:44,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0247.JPG,2016:11:12 07:21:45,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0248.JPG,2016:11:12 07:22:03,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0249.JPG,2016:11:12 07:24:27,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0250.JPG,2016:11:12 07:27:11,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0251.JPG,2016:11:12 07:27:26,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0252.JPG,2016:11:12 07:29:11,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0253.JPG,2016:11:12 08:59:17,2017:08:31 17:46:12
22A,R1,NIA_S1_22A_R1_IMAG0254.JPG,2016:11:12 09:01:51,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0255.JPG,2016:11:12 10:03:12,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0256.JPG,2016:11:12 10:03:37,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0257.JPG,2016:11:12 10:03:56,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0258.JPG,2016:11:12 10:27:02,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0259.JPG,2016:11:12 10:27:20,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0260.JPG,2016:11:12 10:29:47,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0261.JPG,2016:11:12 10:35:52,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0262.JPG,2016:11:12 10:38:45,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0263.JPG,2016:11:12 10:40:40,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0264.JPG,2016:11:12 10:45:13,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0265.JPG,2016:11:12 10:45:33,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0266.JPG,2016:11:12 10:48:37,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0267.JPG,2016:11:12 10:49:00,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0268.JPG,2016:11:12 11:30:01,2017:08:31 17:46:13
22A,R1,NIA_S1_22A_R1_IMAG0269.JPG,2016:11:12 12:14:46,2017:08:31 17:46:10
22A,R1,NIA_S1_22A_R1_IMAG0270.JPG,2016:11:12 12:42:42,2017:08:31 17:46:11
22A,R1,NIA_S1_22A_R1_IMAG0271.JPG,2016:11:12 12:56:24,2017:08:31 17:46:11
22A,R1,NIA_S1_22A_R1_IMAG0272.JPG,2016:11:12 13:00:38,2017:08:31 17:46:11
22A,R1,NIA_S1_22A_R1_IMAG0273.JPG,2016:11:12 13:03:14,2017:08:31 17:46:11
22A,R1,NIA_S1_22A_R1_IMAG0274.JPG,2016:11:12 13:03:51,2017:08:31 17:46:11
